,model,layer,accuracy,experiment
569,alexnet,ReLU-5,1,curv
570,alexnet,ReLU-5,1,curv
571,alexnet,ReLU-5,1,curv
572,alexnet,ReLU-5,1,curv
573,alexnet,ReLU-5,1,curv
574,alexnet,ReLU-5,1,curv
575,alexnet,ReLU-5,1,curv
576,alexnet,ReLU-5,1,curv
577,alexnet,ReLU-5,1,curv
578,alexnet,ReLU-5,1,curv
579,alexnet,ReLU-5,1,curv
580,alexnet,ReLU-5,1,curv
581,alexnet,ReLU-5,1,curv
582,alexnet,ReLU-5,1,curv
583,alexnet,ReLU-5,1,curv
584,alexnet,ReLU-5,1,curv
585,alexnet,ReLU-5,1,curv
586,alexnet,ReLU-5,1,curv
587,alexnet,ReLU-5,1,curv
588,alexnet,ReLU-5,1,curv
589,alexnet,ReLU-5,1,curv
590,alexnet,ReLU-5,0,curv
591,alexnet,ReLU-5,0,curv
592,alexnet,ReLU-5,1,curv
593,alexnet,ReLU-5,1,curv
594,alexnet,ReLU-5,1,curv
595,alexnet,ReLU-5,1,curv
596,alexnet,ReLU-5,1,curv
597,alexnet,ReLU-5,1,curv
598,alexnet,ReLU-5,1,curv
599,alexnet,ReLU-5,1,curv
600,alexnet,ReLU-6,1,curv
601,alexnet,ReLU-6,1,curv
602,alexnet,ReLU-6,1,curv
603,alexnet,ReLU-6,1,curv
604,alexnet,ReLU-6,0,curv
605,alexnet,ReLU-6,0,curv
606,alexnet,ReLU-6,1,curv
607,alexnet,ReLU-6,0,curv
608,alexnet,ReLU-6,1,curv
609,alexnet,ReLU-6,0,curv
610,alexnet,ReLU-6,0,curv
611,alexnet,ReLU-6,0,curv
612,alexnet,ReLU-6,0,curv
613,alexnet,ReLU-6,0,curv
614,alexnet,ReLU-6,0,curv
615,alexnet,ReLU-6,1,curv
616,alexnet,ReLU-6,0,curv
617,alexnet,ReLU-6,0,curv
618,alexnet,ReLU-6,0,curv
619,alexnet,ReLU-6,0,curv
620,alexnet,ReLU-6,1,curv
621,alexnet,ReLU-6,1,curv
622,alexnet,ReLU-6,1,curv
623,alexnet,ReLU-6,1,curv
624,alexnet,ReLU-6,1,curv
625,alexnet,ReLU-6,1,curv
626,alexnet,ReLU-6,1,curv
627,alexnet,ReLU-6,1,curv
628,alexnet,ReLU-6,1,curv
629,alexnet,ReLU-6,1,curv
630,alexnet,ReLU-6,1,curv
631,alexnet,ReLU-6,1,curv
632,alexnet,ReLU-6,1,curv
633,alexnet,ReLU-6,1,curv
634,alexnet,ReLU-6,1,curv
635,alexnet,ReLU-6,1,curv
636,alexnet,ReLU-6,1,curv
637,alexnet,ReLU-6,1,curv
638,alexnet,ReLU-6,1,curv
639,alexnet,ReLU-6,1,curv
640,alexnet,ReLU-6,1,curv
641,alexnet,ReLU-6,1,curv
642,alexnet,ReLU-6,1,curv
643,alexnet,ReLU-6,1,curv
644,alexnet,ReLU-6,1,curv
645,alexnet,ReLU-6,1,curv
646,alexnet,ReLU-6,1,curv
647,alexnet,ReLU-6,1,curv
648,alexnet,ReLU-6,1,curv
649,alexnet,ReLU-6,1,curv
650,alexnet,ReLU-6,1,curv
651,alexnet,ReLU-6,1,curv
652,alexnet,ReLU-6,1,curv
