,model,layer,accuracy
450,alexnet,ReLU-4,0.75
451,alexnet,ReLU-4,1.0
452,alexnet,ReLU-4,1.0
453,alexnet,ReLU-4,1.0
454,alexnet,ReLU-4,1.0
455,alexnet,ReLU-4,1.0
456,alexnet,ReLU-4,0.75
457,alexnet,ReLU-4,1.0
458,alexnet,ReLU-4,1.0
459,alexnet,ReLU-4,0.75
460,alexnet,ReLU-4,1.0
461,alexnet,ReLU-4,1.0
462,alexnet,ReLU-4,1.0
463,alexnet,ReLU-4,1.0
464,alexnet,ReLU-4,1.0
465,alexnet,ReLU-4,1.0
466,alexnet,ReLU-4,1.0
467,alexnet,ReLU-4,1.0
468,alexnet,ReLU-4,1.0
469,alexnet,ReLU-4,1.0
470,alexnet,ReLU-4,1.0
471,alexnet,ReLU-4,1.0
472,alexnet,ReLU-4,0.75
473,alexnet,ReLU-4,1.0
474,alexnet,ReLU-4,1.0
475,alexnet,ReLU-4,1.0
476,alexnet,ReLU-4,1.0
477,alexnet,ReLU-4,1.0
478,alexnet,ReLU-4,1.0
479,alexnet,ReLU-4,1.0
480,alexnet,ReLU-5,1.0
481,alexnet,ReLU-5,1.0
482,alexnet,ReLU-5,1.0
483,alexnet,ReLU-5,0.75
484,alexnet,ReLU-5,0.75
485,alexnet,ReLU-5,1.0
486,alexnet,ReLU-5,1.0
487,alexnet,ReLU-5,0.75
488,alexnet,ReLU-5,0.5
489,alexnet,ReLU-5,1.0
490,alexnet,ReLU-5,0.75
491,alexnet,ReLU-5,0.5
492,alexnet,ReLU-5,1.0
493,alexnet,ReLU-5,0.75
494,alexnet,ReLU-5,1.0
495,alexnet,ReLU-5,1.0
496,alexnet,ReLU-5,0.75
497,alexnet,ReLU-5,1.0
498,alexnet,ReLU-5,0.75
499,alexnet,ReLU-5,1.0
500,alexnet,ReLU-5,1.0
501,alexnet,ReLU-5,1.0
502,alexnet,ReLU-5,0.75
503,alexnet,ReLU-5,1.0
504,alexnet,ReLU-5,1.0
505,alexnet,ReLU-5,1.0
506,alexnet,ReLU-5,1.0
507,alexnet,ReLU-5,0.75
508,alexnet,ReLU-5,1.0
509,alexnet,ReLU-5,1.0
510,alexnet,ReLU-5,1.0
511,alexnet,ReLU-5,1.0
512,alexnet,ReLU-5,0.75
513,alexnet,ReLU-5,1.0
514,alexnet,ReLU-5,1.0
515,alexnet,ReLU-5,1.0
516,alexnet,ReLU-5,1.0
517,alexnet,ReLU-5,1.0
518,alexnet,ReLU-5,1.0
519,alexnet,ReLU-5,1.0
520,alexnet,ReLU-5,1.0
521,alexnet,ReLU-5,1.0
522,alexnet,ReLU-5,1.0
523,alexnet,ReLU-5,1.0
524,alexnet,ReLU-5,1.0
525,alexnet,ReLU-5,1.0
526,alexnet,ReLU-5,1.0
527,alexnet,ReLU-5,1.0
528,alexnet,ReLU-5,0.75
529,alexnet,ReLU-5,0.75
530,alexnet,ReLU-5,1.0
531,alexnet,ReLU-5,1.0
532,alexnet,ReLU-5,1.0
533,alexnet,ReLU-5,1.0
534,alexnet,ReLU-5,1.0
535,alexnet,ReLU-5,1.0
536,alexnet,ReLU-5,1.0
537,alexnet,ReLU-5,1.0
538,alexnet,ReLU-5,1.0
539,alexnet,ReLU-5,1.0
540,alexnet,ReLU-5,1.0
541,alexnet,ReLU-5,1.0
542,alexnet,ReLU-5,0.75
543,alexnet,ReLU-5,1.0
544,alexnet,ReLU-5,1.0
